0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,10,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,12,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,13,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,13,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,12,11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,12,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,12,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,13,12,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,10,13,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,11,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,11,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,14,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,13,14,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,14,13,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,13,14,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,12,16,11,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,10,14,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,12,14,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,12,13,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,12,14,14,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,11,16,12,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,11,15,12,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,10,15,14,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,10,15,14,9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,11,16,13,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,11,16,13,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,11,13,16,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,9,14,16,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,9,15,15,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,9,14,17,6,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,8,14,15,8,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,7,13,17,9,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,7,13,17,9,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,14,18,8,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,14,17,10,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,6,12,18,10,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,6,11,15,13,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
